"site_id","utm_zone","epsg","cell_e0","cell_n0","x_centroid","y_centroid","lon_centroid","lat_centroid"
"UTM29N_E1130000_N4660000","29N",32629,1130000,4660000,1135000,4665000,-1.3492070127136,41.8813885226096
"UTM29N_E1200000_N4600000","29N",32629,1200000,4600000,1205000,4605000,-0.584434879965587,41.2877829770171
"UTM29N_E1210000_N4600000","29N",32629,1210000,4600000,1215000,4605000,-0.466324690479902,41.2790241965453
"UTM29N_E1150000_N4670000","29N",32629,1150000,4670000,1155000,4675000,-1.09934442811921,41.9543444595008
"UTM29N_E830000_N4130000","29N",32629,830000,4130000,835000,4135000,-5.2207083415285,37.3013142945393
"UTM29N_E8e+05_N4250000","29N",32629,8e+05,4250000,805000,4255000,-5.50795328459636,38.3912261553066
"UTM29N_E1180000_N4600000","29N",32629,1180000,4600000,1185000,4605000,-0.820809989406506,41.3049411381699
"UTM29N_E1140000_N4510000","29N",32629,1140000,4510000,1145000,4515000,-1.38752485953217,40.5343136370329
"UTM29N_E1120000_N4560000","29N",32629,1120000,4560000,1125000,4565000,-1.57182428772705,40.9962581787278
"UTM29N_E1150000_N4510000","29N",32629,1150000,4510000,1155000,4515000,-1.27051394291297,40.5264986459125
"UTM29N_E1140000_N4530000","29N",32629,1140000,4530000,1145000,4535000,-1.36710167704687,40.7128944639104
"UTM29N_E1190000_N4570000","29N",32629,1190000,4570000,1195000,4575000,-0.736494989305028,41.0290057972085
"UTM29N_E1180000_N4590000","29N",32629,1180000,4590000,1185000,4595000,-0.832002868453525,41.2157798202935
"UTM29N_E1190000_N4590000","29N",32629,1190000,4590000,1195000,4595000,-0.71394701826884,41.2072872105449
"UTM29N_E1120000_N4630000","29N",32629,1120000,4630000,1125000,4635000,-1.50011289934928,41.621446952724
"UTM29N_E1170000_N4530000","29N",32629,1170000,4530000,1175000,4535000,-1.01529066604261,40.6889485236901
"UTM29N_E1190000_N4580000","29N",32629,1190000,4580000,1195000,4585000,-0.725246303219584,41.1181484685011
"UTM29N_E860000_N4100000","29N",32629,860000,4100000,865000,4105000,-4.89765350380306,37.020303668793
"UTM29N_E1130000_N4550000","29N",32629,1130000,4550000,1135000,4555000,-1.46416723085131,40.8992558907893
"UTM29N_E1260000_N4630000","29N",32629,1260000,4630000,1265000,4635000,0.161092228194137,41.5002293470935
"UTM29N_E1250000_N4640000","29N",32629,1250000,4640000,1255000,4645000,0.0552918481625759,41.5986224933624
"UTM29N_E1220000_N4650000","29N",32629,1220000,4650000,1225000,4655000,-0.288362080637633,41.7153480218562
"UTM29N_E780000_N4220000","29N",32629,780000,4220000,785000,4225000,-5.74865096194256,38.1278849313844
"UTM29N_E1120000_N4550000","29N",32629,1120000,4550000,1125000,4555000,-1.58188565381574,40.906931660328
"UTM29N_E1130000_N4540000","29N",32629,1130000,4540000,1135000,4545000,-1.47433881819219,40.8099499380126
"UTM29N_E1260000_N4640000","29N",32629,1260000,4640000,1265000,4645000,0.173761023716101,41.5891502544738
"UTM29N_E1230000_N4620000","29N",32629,1230000,4620000,1235000,4625000,-0.206147507448425,41.4391853487197
"UTM29N_E720000_N4560000","29N",32629,720000,4560000,725000,4565000,-6.31645664920721,41.2051184803785
"UTM29N_E840000_N4550000","29N",32629,840000,4550000,845000,4555000,-4.89376153419536,41.073082879778
"UTM29N_E8e+05_N4620000","29N",32629,8e+05,4620000,805000,4625000,-5.33362536692891,41.7183100797445
"UTM29N_E8e+05_N4630000","29N",32629,8e+05,4630000,805000,4635000,-5.3284978555841,41.808195495362
