Species,UTMCODE,Status,AREA_MN,ED,LPI,NP,Year,CA,RegSect
P_alchata,XM3050,Extinction,603.75,8.532704773129051,55.98114319387154,10,2006,57.32526,Ebro valley
P_alchata,XM8050,Extinction,1729.6875,8.63716814159292,64.71976401179941,4,2006,65.648172,Ebro valley
P_alchata,XM9050,Extinction,1170,6.60377358490566,34.08018867924528,5,2006,55.051636,Ebro valley
P_alchata,UM3040,Extinction,46.09375,2.437275985663082,1.194743130227001,8,2006,3.28940475,Northern plateau
P_alchata,XM2040,Persistence,657.8125,3.492625368731563,23.36283185840708,4,2006,24.628724,Ebro valley
P_alchata,XM5040,Persistence,582.2115384615385,4.391971664698938,69.185360094451,13,2006,72.3172,Ebro valley
P_alchata,YM2040,Colonization,257.95454545454544,6.454652532391048,24.02826855123675,11,2006,26.943566,Ebro valley
P_alchata,YM3040,Extinction,166.5441176470588,9.464390818128312,14.420247204237787,17,2006,26.177548,Ebro valley
P_alchata,YM4040,Persistence,3240.625,7.796383121232418,69.12257200267918,2,2006,62.121568,Ebro valley
P_alchata,XM2030,Extinction,487.5,11.520190023752969,41.7458432304038,11,2006,50.967916,Ebro valley
P_alchata,XM3030,Persistence,541.25,10.260047281323876,49.70449172576832,10,2006,52.693436,Ebro valley
P_alchata,XM7030,Persistence,9812.5,2.192103712433707,92.51620506776665,1,2006,93.739512,Ebro valley
P_alchata,YM4030,Persistence,814.5833333333334,13.01484828921885,48.224661071659135,6,2006,47.379172,Ebro valley
P_alchata,BG7020,Persistence,80.46875,3.290548424737456,3.267211201866978,8,2006,5.6256135,Ebro valley
P_alchata,BG5020,Persistence,114.35185185185185,10.64039408866995,10.714285714285714,27,2006,28.412126,Ebro valley
P_alchata,XM3020,Persistence,4859.375,4.018912529550827,91.78486997635935,2,2006,93.281648,Ebro valley
P_alchata,XM4020,Extinction,8112.5,2.945368171021378,77.07838479809976,1,2006,78.281184,Ebro valley
P_alchata,YM2020,Persistence,525.6944444444445,7.759433962264151,43.39622641509434,9,2006,44.885412,Ebro valley
P_alchata,YM3020,Extinction,272.5,7.731290512669417,18.97466116676488,10,2006,25.824442,Ebro valley
P_alchata,BG7010,Extinction,32.89473684210526,5,1.408450704225352,19,2006,6.0571425,Ebro valley
P_alchata,BG6010,Persistence,426.25,8.455666470933647,37.5807398708162,10,2006,40.166688,Ebro valley
P_alchata,BG5010,Extinction,1473.9583333333333,6.221692491060787,76.93682955899881,6,2006,84.538512,Ebro valley
P_alchata,XM3010,Persistence,4981.25,3.3926453143535,93.77224199288257,2,2006,95.59012,Ebro valley
P_alchata,XM4010,Persistence,1571.25,8.080330773774365,52.09686946249261,5,2006,74.543168,Ebro valley
P_alchata,XM5010,Extinction,136.02941176470588,10.501474926253687,12.212389380530974,17,2006,21.615464,Ebro valley
P_alchata,XM9010,Extinction,10512.5,0.731132075471698,99.1745283018868,1,2006,100.382176,Ebro valley
P_alchata,YM0010,Extinction,10587.5,0.235432607416127,99.70570924072985,1,2006,100.81088,Ebro valley
P_alchata,YM3010,Extinction,4515.625,7.94811320754717,84.66981132075472,2,2006,86.254064,Ebro valley
P_alchata,BG6000,Extinction,5056.25,2.476635514018692,94.33411214953271,2,2006,96.336264,Ebro valley
P_alchata,BG5000,Persistence,8737.5,5.964912280701754,81.75438596491227,1,2006,82.9304,Ebro valley
P_alchata,XM2000,Colonization,1487.5,9.793510324483776,69.6755162241888,5,2006,71.094936,Ebro valley
P_alchata,XM3000,Persistence,1147.9166666666667,10.797401063201418,63.61488481984643,6,2006,66.702468,Ebro valley
P_alchata,XM4000,Persistence,383.3333333333333,11.054802592810843,26.988803771361226,12,2006,42.58348,Ebro valley
P_alchata,XM5000,Persistence,1651.25,12.39835002946376,77.31290512669416,5,2006,78.971056,Ebro valley
P_alchata,YM1000,Persistence,10250,1.693121693121693,96.41387419165197,1,2006,97.39508,Ebro valley
P_alchata,YM2000,Extinction,3079.1666666666665,4.049440847557387,86.69805768098881,3,2006,88.13948,Ebro valley
P_alchata,XL4090,Persistence,1906.25,9.47554507955215,50.20624631703006,3,2006,54.5038,Ebro valley
P_alchata,XL5090,Extinction,4584.375,7.161366313309776,86.33686690223793,2,2006,87.652608,Ebro valley
P_alchata,XL8090,Persistence,5087.5,2.101534828807556,95.92680047225501,2,2006,97.175664,Ebro valley
P_alchata,XL9090,Persistence,8106.25,7.634854771784233,76.88203912270303,1,2006,78.024936,Ebro valley
P_alchata,YL1090,Persistence,1992.1875,3.69846878680801,73.08598351001177,4,2006,76.03992,Ebro valley
P_alchata,UL0080,Colonization,1255.2083333333333,12.219570405727923,70.1073985680191,6,2006,71.892208,Northern plateau
P_alchata,UL2080,Colonization,2035.9375,9.875666074600355,75.3700414446418,4,2006,78.440392,Northern plateau
P_alchata,UL3080,Extinction,381.7307692307692,15.981031416716064,44.042679312388856,13,2006,46.931344,Northern plateau
P_alchata,XL5080,Extinction,739.5833333333334,10.671378091872791,57.65606595995288,9,2006,63.223492,Ebro valley
P_alchata,XL8080,Persistence,5075,2.283696291936433,95.52678045909359,2,2006,96.998984,Ebro valley
P_alchata,XL9080,Persistence,10162.5,2.897526501766785,95.75971731448763,1,2006,97.166064,Ebro valley
P_alchata,YL0080,Colonization,1310,5.892751915144372,56.8650559811432,5,2006,61.716748,Ebro valley
P_alchata,YL1080,Persistence,2329.1666666666665,6.480712166172107,64.56973293768546,3,2006,66.724804,Ebro valley
P_alchata,YL2080,Persistence,2167.1875,5.54245283018868,81.48584905660378,4,2006,82.695736,Ebro valley
P_alchata,YL3080,Extinction,8875,7.736625514403292,83.48030570252793,1,2006,84.616208,Ebro valley
P_alchata,YL4080,Persistence,1194.642857142857,8.324514991181658,77.77777777777779,7,2006,79.738872,Ebro valley
P_alchata,UL0070,Colonization,4284.375,10.095465393794749,81.74224343675418,2,2006,81.767344,Northern plateau
P_alchata,XL7070,Extinction,2427.0833333333335,3.842074248674131,68.41484973482616,3,2006,69.128016,Ebro valley
P_alchata,XL8070,Persistence,4218.75,8.75809299587993,79.1053560918187,2,2006,80.127048,Ebro valley
P_alchata,XL9070,Persistence,9700,3.176470588235294,91.29411764705883,1,2006,92.832424,Ebro valley
P_alchata,YL0070,Colonization,5006.25,3.602118893466745,94.11418481459683,2,2006,95.200928,Ebro valley
P_alchata,YL1070,Colonization,2154.6875,8.944246737841043,81.37603795966785,4,2006,82.891416,Ebro valley
P_alchata,UL0060,Colonization,4643.75,6.618876941457587,88.70967741935483,2,2006,88.886216,Northern plateau
